Task Name,Parent Task,Description,Status,Priority,Tags,Start Date,Due Date,Time Estimate,List Name
Phase 1: Project Initiation & Planning,,"Establish project scope, tech stack, and repository foundations for the Online Computer Store capstone.",Complete,High,"phase,planning",2026-09-05,2026-09-06,,Online Computer Store - Capstone WBS
1.1 Define project scope & objectives,Phase 1: Project Initiation & Planning,"Confirm the project is a full ASP.NET Core MVC e-commerce site (catalog, cart, checkout, accounts, admin, AI-assist) rebuilt from a legacy site.",Complete,High,planning,2026-09-05,2026-09-05,2h,Online Computer Store - Capstone WBS
1.2 Select technology stack,Phase 1: Project Initiation & Planning,"ASP.NET Core 8 MVC, EF Core 8 (SQLite/SQL Server), cookie-based auth, MailKit for email, Stripe for payments.",Complete,High,"planning,architecture",2026-09-05,2026-09-05,2h,Online Computer Store - Capstone WBS
1.3 Set up repository & solution structure,Phase 1: Project Initiation & Planning,Controllers/Services/Models/Views layout; Program.cs DI wiring; EF Core migrations pipeline.,Complete,Normal,setup,2026-09-05,2026-09-06,3h,Online Computer Store - Capstone WBS
1.4 Establish secrets hygiene,Phase 1: Project Initiation & Planning,"Add .gitignore for appsettings.json, bin/obj, db files; create appsettings.example.json template before any Git history existed.",Complete,Normal,"security,setup",2026-09-06,2026-09-06,1h,Online Computer Store - Capstone WBS
Phase 2: Requirements Analysis,,"Define functional, non-functional, and security requirements for the storefront.",Complete,High,"phase,requirements",2026-09-06,2026-09-06,,Online Computer Store - Capstone WBS
2.1 Define functional requirements,Phase 2: Requirements Analysis,"Catalog browsing/search, cart, checkout, order tracking, accounts, admin product management, AI assistant features.",Complete,High,requirements,2026-09-06,2026-09-06,2h,Online Computer Store - Capstone WBS
2.2 Define non-functional requirements,Phase 2: Requirements Analysis,"Usability, responsive UI, graceful degradation when AI/payment providers are unconfigured, maintainability.",Complete,Normal,requirements,2026-09-06,2026-09-06,1h,Online Computer Store - Capstone WBS
2.3 Identify security requirements,Phase 2: Requirements Analysis,"Password hashing, role-based admin access, prevention of IDOR on order lookups, safe handling of payment secrets.",Complete,High,"requirements,security",2026-09-06,2026-09-06,1h,Online Computer Store - Capstone WBS
Phase 3: System & Architecture Design,,"Design the MVC architecture, data model, authentication model, and payment integration approach.",Complete,High,"phase,design",2026-09-06,2026-09-07,,Online Computer Store - Capstone WBS
3.1 Design MVC architecture,Phase 3: System & Architecture Design,Controllers/Services/Models/Views separation; dependency injection via Program.cs; typed HttpClient for Stripe.,Complete,High,"design,architecture",2026-09-06,2026-09-06,3h,Online Computer Store - Capstone WBS
3.2 Design data model & migrations strategy,Phase 3: System & Architecture Design,"Product, Order, OrderItem, AppUser entities; EF Core code-first migrations with SQLite provider.",Complete,High,"design,database",2026-09-06,2026-09-07,3h,Online Computer Store - Capstone WBS
3.3 Design authentication & authorization model,Phase 3: System & Architecture Design,"Cookie-based auth with ClaimsPrincipal, PBKDF2 password hashing, Admin role claim design.",Complete,High,"design,security",2026-09-07,2026-09-07,2h,Online Computer Store - Capstone WBS
3.4 Design payment integration approach,Phase 3: System & Architecture Design,"Stripe Checkout Sessions (redirect-based), server-side session verification, idempotent order fulfillment.",Complete,High,"design,payments",2026-09-07,2026-09-07,2h,Online Computer Store - Capstone WBS
Phase 4: Implementation - Core E-commerce,,"Build the core storefront: catalog, cart, checkout, order confirmation, tracking, and AI-assist features.",Complete,High,"phase,implementation",2026-09-06,2026-09-08,,Online Computer Store - Capstone WBS
4.1 Product catalog & seeding,Phase 4: Implementation - Core E-commerce,DbInitializer seeds 15 catalog products with real photography across Laptops/Desktops/Accessories/Tablets/Monitors.,Complete,Normal,"implementation,catalog",2026-09-06,2026-09-06,4h,Online Computer Store - Capstone WBS
4.2 Shopping cart,Phase 4: Implementation - Core E-commerce,"Session-based cart service (add/remove/update quantity, totals).",Complete,Normal,"implementation,cart",2026-09-06,2026-09-07,3h,Online Computer Store - Capstone WBS
4.3 Checkout flow & order placement,Phase 4: Implementation - Core E-commerce,CheckoutController + OrderService; unique 5-digit order numbers; order persistence.,Complete,High,"implementation,checkout",2026-09-07,2026-09-07,4h,Online Computer Store - Capstone WBS
4.4 Order confirmation & email notifications,Phase 4: Implementation - Core E-commerce,MailKit-based EmailService sends order confirmation emails on successful checkout.,Complete,Normal,"implementation,email",2026-09-07,2026-09-08,3h,Online Computer Store - Capstone WBS
4.5 Order tracking feature,Phase 4: Implementation - Core E-commerce,Public /Orders/Track lookup by order ID with AI-generated status explanation.,Complete,Normal,implementation,2026-09-08,2026-09-08,2h,Online Computer Store - Capstone WBS
4.6 AI-assisted features,Phase 4: Implementation - Core E-commerce,"AI search, homepage copy, product comparisons, upsell suggestions, order-status explanations; OpenAI-backed with graceful 'not configured' fallback.",Complete,Low,"implementation,ai",2026-09-07,2026-09-08,4h,Online Computer Store - Capstone WBS
Phase 5: Implementation - Security & Payments,,Wire up real payment processing and lock down administrative and customer-data access paths.,Complete,Urgent,"phase,implementation,security",2026-09-08,2026-09-09,,Online Computer Store - Capstone WBS
5.1 Stripe Checkout integration (test mode),Phase 5: Implementation - Security & Payments,"StripePaymentService (raw HttpClient) creates Checkout Sessions, verifies payment server-side on redirect, records PaymentProvider/PaymentStatus/PaymentReference on Order.",Complete,Urgent,"payments,security",2026-09-08,2026-09-08,6h,Online Computer Store - Capstone WBS
5.2 Idempotent payment fulfillment,Phase 5: Implementation - Security & Payments,GetByPaymentReferenceAsync prevents duplicate orders if a customer refreshes the post-payment success page.,Complete,High,payments,2026-09-08,2026-09-08,2h,Online Computer Store - Capstone WBS
5.3 Admin role-based access control,Phase 5: Implementation - Security & Payments,"IsAdmin flag on AppUser, Admin role claim on login, [Authorize(Roles=""Admin"")] on AdminController, first-registered-user auto-bootstrap, nav link hidden from non-admins.",Complete,Urgent,"security,admin",2026-09-09,2026-09-09,3h,Online Computer Store - Capstone WBS
5.4 Fix order-tracking IDOR,Phase 5: Implementation - Security & Payments,"Order lookup now requires the checkout email to match the order, not just a guessable 5-digit ID; generic error message avoids leaking which part was wrong.",Complete,Urgent,"security,bugfix",2026-09-09,2026-09-09,2h,Online Computer Store - Capstone WBS
5.5 Payment schema migration,Phase 5: Implementation - Security & Payments,AddPaymentFieldsToOrder and AddIsAdminToUser EF Core migrations applied automatically via Database.Migrate() on startup.,Complete,Normal,"database,migration",2026-09-09,2026-09-09,1h,Online Computer Store - Capstone WBS
